2,national,Chile (M),Chile,m,CHI,CHI,-,0,00/01/1900 00:00
3,national,France (M),France,m,FRA,FRA,-,0,00/01/1900 00:00
4,national,Mexico (M),Mexico,m,MEX,MEX,-,0,00/01/1900 00:00
5,national,Brazil (M),Brazil,m,BRA,BRA,-,0,00/01/1900 00:00
6,national,Bolivia (M),Bolivia,m,BOL,BOL,-,0,00/01/1900 00:00
7,national,Yugoslavia (M),Yugoslavia,m,YUG,YUG,-,0,00/01/1900 00:00
8,national,Peru (M),Peru,m,PER,PER,-,0,00/01/1900 00:00
9,national,Romania (M),Romania,m,ROM,ROM,-,0,00/01/1900 00:00
10,national,Uruguay (M),Uruguay,m,URU,URU,-,0,00/01/1900 00:00
11,national,Belgium (M),Belgium,m,BEL,BEL,-,0,00/01/1900 00:00
12,national,Paraguay (M),Paraguay,m,PAR,PAR,-,0,00/01/1900 00:00
13,national,United States (M),United States,m,USA,USA,-,0,00/01/1900 00:00
